name,longitude,latitude,index,type
Smith Hall,-86.91694803411843,40.42348721108103,20,university building
Grounds Service Building,-86.91992946037682,40.422864582358564,21,university building
Herrick Laboratories,-86.92095990303982,40.42282616462575,22,university building
Biochemistry Building,-86.91645374889394,40.42281177428435,23,university building
Agricultural Administration Building,-86.91438001244015,40.42340146813198,24,university building
Lilly Hall,-86.91815393280588,40.423390836630574,25,university building
Life Science Ranges (Greenhouse and Service Building),-86.91767942094808,40.42253547830054,26,university building
Unnamed,-86.92127219468227,40.42315530883893,27,university building
Whistler Hall,-86.91547535033234,40.42322115824362,28,university building
Horticulture,-86.91446293419936,40.42175325749054,29,university building
Martin C. Jischke Hall of Biomedical Engineering,-86.92098159745608,40.42213361406938,30,university building
Krannert School of Management,-86.91096130494167,40.42369027012077,31,university building
Unnamed,-86.914484323523,40.42091701948569,32,university building
Agricultural and Biological Engineering (ABE),-86.91660773708108,40.421704819250664,33,university building
University Hall (UNIV),-86.9151930760971,40.42527026329514,34,university building
Smalley Center,-86.92322503629066,40.427045553805236,35,university building
Bindley Bioscience Center,-86.9234410461171,40.42278464063193,36,university building
Birck Nanotechnology Center,-86.92462806338604,40.42267808547495,37,university building
Mann Hall,-86.92267850066085,40.423013693179456,38,university building
Marriot Hall,-86.9170015061465,40.42457343767193,39,university building
Morgan Center for Entrepreneurship (MRGN),-86.92285649290386,40.42374678257626,40,university building
Telecommunications Building (TEL),-86.91702186315783,40.426015717627074,41,university building
Purdue Police Department,-86.92225547928038,40.422301147900406,42,university building
Unnamed,-86.91937647098356,40.422513172584,43,university building
Hockmeyer Hall of Structural Biology (HOCK),-86.92114420123477,40.42118161288362,44,university building
Hall for Discovery and Learning Research (DLR),-86.92244717450609,40.42123385388457,45,university building
Hanley Hall,-86.92286852816991,40.4247017837593,46,university building
Fowler Memorial House,-86.9222669498698,40.4248549138525,47,university building
Unnamed,-86.91345866525019,40.42160239964737,48,university building
Unnamed,-86.91248405335243,40.42074386731122,49,university building
Unnamed,-86.91263148085544,40.42170311037296,50,university building
Unnamed,-86.91254884909858,40.421447217514476,51,university building
Unnamed,-86.91180964268031,40.42136823691396,52,university building
Unnamed,-86.91185155,40.420630349999996,53,university building
Unnamed,-86.91144583137302,40.420555274854344,54,university building
Islamic Societyof Greater Lafayette,-86.91877794522175,40.42546840383582,55,university building
Unnamed,-86.91877814750332,40.425926638843265,56,university building
Unnamed,-86.91820792072781,40.42599574698747,57,university building
Unnamed,-86.91828806346236,40.426967869695154,58,university building
Unnamed,-86.91830533352297,40.42681603709285,59,university building
Unnamed,-86.91831599289739,40.42655359173253,60,university building
Unnamed,-86.91876526386584,40.424591525480146,61,university building
Unnamed,-86.91840207502148,40.42485174063951,62,university building
