order_count,distance_uncharge,distance_charge,max_dist,obj_uncharge,obj_charge,num_veh,battery_swapping,num_vehicles,scenario
28,14.030226055401592,14.030226055401592,6.251764698572085,14.030226055401592,14.030226055401592,3,0,5,43
34,14.687765170815364,14.687765170815364,5.578068649259944,14.687765170815364,14.687765170815364,3,0,5,44
39,17.416721761715984,17.416721761715984,5.835561783091205,17.416721761715984,17.416721761715984,4,0,5,45
41,22.20827233524302,22.20827233524302,7.469912510718681,22.20827233524302,22.20827233524302,4,0,5,46
41,15.078451414865723,15.078451414865723,5.647506431207825,15.078451414865723,15.078451414865723,4,0,5,47
31,15.400652441373484,15.400652441373484,6.041837647731369,15.400652441373484,15.400652441373484,3,0,5,48
39,16.274109262182012,16.274109262182012,4.578241390880733,16.274109262182012,16.274109262182012,4,0,5,49
42,18.819746604197995,18.819746604197995,4.359945692022817,18.819746604197995,18.819746604197995,5,0,5,50
44,17.46966396162402,17.46966396162402,6.288761231312213,17.46966396162402,17.46966396162402,4,0,5,51
45,19.0522736028434,19.0522736028434,6.268618191308238,19.0522736028434,19.0522736028434,4,0,5,52
34,16.19642834950974,16.19642834950974,5.535641318801497,16.19642834950974,16.19642834950974,4,0,5,53
44,18.802908645780256,18.802908645780256,5.277076316999515,18.802908645780256,18.802908645780256,4,0,5,54
44,19.4835187095331,19.4835187095331,5.9757465793430855,19.4835187095331,19.4835187095331,5,0,5,55
38,18.842628033852385,18.842628033852385,5.759681608609741,18.842628033852385,18.842628033852385,4,0,5,56
47,19.064031839139027,19.064031839139027,6.499195943678775,19.064031839139027,19.064031839139027,4,0,5,57
43,18.474073222563288,18.474073222563288,5.9082499658245,18.474073222563288,18.474073222563288,5,0,5,58
43,20.58005020691712,20.58005020691712,5.170921620043,20.58005020691712,20.58005020691712,5,0,5,59
44,18.05303975542769,18.05303975542769,7.710987112729441,18.05303975542769,18.05303975542769,3,0,5,60
55,26.373819081113997,26.373819081113997,6.717719686331042,26.373819081113997,26.373819081113997,5,0,5,61
